Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1609108752388571137,"e-gens, our testnet is ready for your enjoyment!

We launch 2023-01-01! ⚡️🔋

If you would like to join as a validator or an early adopter of the universal interoperability layer for decentralized energy, there's still time to apply - start w/ this form:

https://t.co/PcThV5qL7v",Plurigrid 🛸,plurigrid,2022-12-31T08:46:37.000Z,Sat Dec 31 08:46:37 +0000 2022,3,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://docs.google.com/forms/d/e/1FAIpQLSdlIF3ZRLEgSTTHsPFmzaSb9JDei-KnZk4L2PpgVcH4NYi0XQ/viewform ,0,0,,,,,
1608603595766890497,"RT @mattyj612 : Games: Agency as Art by @add_hawk took the glasses I use to look at the world, slapped them off my face, stomped on them until the lenses were grains of sand, then gave me new glasses I much prefer &amp; never want to remove. An extraordinary book.

https://t.co/QgAXVXVj2S",Plurigrid 🛸,plurigrid,2022-12-29T23:19:18.000Z,Thu Dec 29 23:19:18 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.goodreads.com/review/show/5043770786?book_show_action=false&from_review_page=1 ,0,1,,,,,
1608599411814457344,"📰 @Masdar is set to build a 120 MW solar plant in Yemen + transmission lines / transformer stations.
🏗️⚡️🇾🇪

""only ~10 percent of Yemenis have access to central electricity {...} many farmers in arid hinterland rely on diesel generators to power wells""

https://t.co/EMHDQWznvE",Plurigrid 🛸,plurigrid,2022-12-29T23:02:40.000Z,Thu Dec 29 23:02:40 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://www.ifc.org/wps/wcm/connect/news_ext_content/ifc_external_corporate_site/news+and+events/news/202101-yemen-solar ,0,1,,,,,
1608509950539481089,"RT @IEA : The global energy crisis has triggered unprecedented momentum behind renewables.

The world is now set to add as much renewable power in the next 5️⃣ years as it did in the past 2️⃣0️⃣

Read more → https://t.co/gDJKfz42mz https://t.co/F1qpkfaZpH",Plurigrid 🛸,plurigrid,2022-12-29T17:07:11.000Z,Thu Dec 29 17:07:11 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://iea.li/3WvVlXF ,0,0,animated_gif,https://video.twimg.com/tweet_video/FlKSx5DXgAAcCIP.mp4,,,
1608434986255884290,"RT @bmorphism : To close the loop on circuits simulating economics, we must use mechanism design / open games to give us better and more reliable circuits 🕹️ 🌨️💥#gridSPICE #gridIBC https://t.co/dIgfn89b7Z",Plurigrid 🛸,plurigrid,2022-12-29T12:09:18.000Z,Thu Dec 29 12:09:18 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/trentmc0/status/1446419552456351747 ,2,0,,,,,
1608426102149480449,"@Thyborg_ 2022: @JunoNetwork @StargazeZone @osmosiszone 
2023: Interchain #CosmWasm #IBC 
...
2200: Xenochain 🛸: Replicated Post-State Machine",Plurigrid 🛸,plurigrid,2022-12-29T11:34:00.000Z,Thu Dec 29 11:34:00 +0000 2022,4,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,2,4,,,,,
1608415045951815680,"RT @Aditya27k : 🚨 How should we plan for winter peaking power grids in the United States? @JXJohnson, @csgalik, and I offer some thoughts in this new piece in Energy Policy. 
#EnergyTwitter

Link: https://t.co/z95X7KZDyH https://t.co/pxX6xpVLYA",Plurigrid 🛸,plurigrid,2022-12-29T10:50:04.000Z,Thu Dec 29 10:50:04 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://authors.elsevier.com/a/1gHOf_6se4Hb6J ,1,2,photo,https://pbs.twimg.com/media/FkbgnMlWIAYrOYL.jpg,https://pbs.twimg.com/media/FkbgnagXEAMmANo.jpg,,
1608414986082156545,"RT @MattEinberger : When people ask me why I'm so obsessed with transmission planning and that obscure organization called @FERC (they don't, but if they did, I would show them these two maps #energytwitter):
Left: How we currently plan the US power system
Right: The events we should be planning for https://t.co/L0P1hoEL9Q",Plurigrid 🛸,plurigrid,2022-12-29T10:49:50.000Z,Thu Dec 29 10:49:50 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,,1,1,photo,https://pbs.twimg.com/media/FkcvAlfWAAIucdG.jpg,https://pbs.twimg.com/media/FkcvAlkXkAApgbV.jpg,,
1608391196099104768,"#CoFi stands for Collaborative Finance, as in Mutual Credit and Obligation Clearing 🌐🔋💳
https://t.co/h7w2Vun3O1",Plurigrid 🛸,plurigrid,2022-12-29T09:15:18.000Z,Thu Dec 29 09:15:18 +0000 2022,5,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://cofi.informal.systems/resources ,1,0,,,,,
1608385260718358528,"👏👏👏🎉  🇬🇧
☀️🌬️🌊☢️  100%

#EnergyMixPluralism
#energytwitter https://t.co/dcRTNr1sca",Plurigrid 🛸,plurigrid,2022-12-29T08:51:43.000Z,Thu Dec 29 08:51:43 +0000 2022,1,0,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tweet,https://twitter.com/JosephMackayCh1/status/1608365713219010560 ,2,0,,,,,
1608089839244656640,RT @plurigrid : few https://t.co/KUAPWI0QdF,Plurigrid 🛸,plurigrid,2022-12-28T13:17:49.000Z,Wed Dec 28 13:17:49 +0000 2022,0,0,qst,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/aidanshandle/status/1606092714243543041 ,0,0,,,,,
1608086337344704512,@BPBartholomew @ElectrifyBloom @abluecrab1 @TKavulla @TermPowerTrader @BlueFlameBlues @agelston @DrewSmithee @jacob_mays @tipvortice @CressNC @AbeEnergy @The_Michael_Lee @russellgold @konetic_energy @JigarShahDC @douglewinenergy @mandhana_abhi e-gen chads ⬆️ thank you for your spicy takes! especially @abluecrab1 🦀,Plurigrid 🛸,plurigrid,2022-12-28T13:03:54.000Z,Wed Dec 28 13:03:54 +0000 2022,2,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,19,,,,,
1608086166825304071,"RT @BPBartholomew : Quick roundup of post-Elliott twitter takes, covering everything from correlated generator outages and gas system stress to Houston wildlife.
https://t.co/JH5Vc4r8Ki",Plurigrid 🛸,plurigrid,2022-12-28T13:03:13.000Z,Wed Dec 28 13:03:13 +0000 2022,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://open.substack.com/pub/themeritorder/p/energy-twitter-takeaways-from-winter?utm_source=share&utm_medium=android ,0,0,,,,,
